GR_API,"Bulk Density, gcc","Resistivity, ohm-m","Water Saturation, fraction","PhiH, ft","TOC, fraction","TVD, ft"
118,2.2096,23,0.13,23,0.077,10670
170,2.2185,21,0.17,20,0.073,9932
166,2.226,14,0.2,21,0.07,9747
166,2.226,14,0.2,21,0.07,9747
135,2.2303,22,0.16,24,0.068,9222
85,2.2701,13,0.24,27,0.051,9782
200,2.282,48,0.15,13,0.046,8104
151,2.2311,22,0.15,20,0.068,10324
198,2.2206,28,0.14,23,0.072,10270
169,2.2136,23,0.14,22,0.075,10655
151,2.2667,19,0.17,19,0.053,10249
117,2.2578,20,0.17,24,0.056,9664
138,2.2551,15,0.2,19,0.058,9933
111,2.2852,19,0.2,19,0.045,10197
199,2.2229,30,0.14,25,0.071,10175
180,2.2534,41,0.13,18,0.058,8507
96,2.2248,24,0.13,18,0.07,11318
141,2.2686,19,0.19,22,0.052,9787
153,2.2136,24,0.11,20,0.075,11093
167,2.2326,25,0.13,18,0.067,9642
154,2.2518,34,0.16,24,0.059,9050
158,2.2301,22,0.15,21,0.068,10066
156,2.2216,23,0.13,19,0.072,11212
207,2.2354,25,0.14,18,0.066,10465
152,2.2561,27,0.16,16,0.057,9445
154,2.246,22,0.17,19,0.061,9391
138,2.2544,17,0.19,29,0.058,9590
158,2.2359,16,0.19,19,0.066,9556
128,2.2429,8,0.14,22,0.068,12449
175,2.2243,15,0.2,21,0.07,9883
182,2.306,22,0.23,10,0.037,8600
130,2.2557,14,0.21,22,0.057,9698
181,2.2288,28,0.13,21,0.069,9675
162,2.2631,19,0.17,18,0.054,10526
146,2.2361,15,0.19,24,0.065,9418
187,2.2761,14,0.23,22,0.049,9063
175,2.2418,37,0.15,20,0.063,8802
189,2.2122,18,0.15,23,0.076,10387
145,2.2347,20,0.14,21,0.066,10011
148,2.2532,20,0.17,27,0.058,9651
148,2.2532,20,0.17,27,0.058,9651
137,2.27,20,0.19,22,0.051,9813
130,2.2545,13,0.22,19,0.059,9142
160,2.2436,17,0.18,23,0.062,9046
153,2.2585,32,0.14,14,0.056,9610
141,2.2691,18,0.2,25,0.052,9850
243,2.2431,34,0.12,13,0.062,11483
179,2.2462,34,0.13,17,0.061,8350
143,2.2317,14,0.14,22,0.069,10894
126,2.2743,20,0.19,19,0.05,9707
158,2.2325,27,0.13,17,0.067,10018
158,2.2325,27,0.13,17,0.067,10018
150,2.2196,29,0.11,21,0.073,9758
150,2.2196,29,0.11,21,0.073,10225
150,2.2196,29,0.11,21,0.073,9661
222,2.2266,24,0.12,19,0.07,10760
98,2.2251,25,0.13,18,0.07,11265
138,2.2319,23,0.15,20,0.068,10075
205,2.219,28,0.12,22,0.073,11200
144,2.2704,19,0.19,21,0.051,9830
169,2.2441,18,0.19,21,0.062,10230
100,2.2282,32,0.12,23,0.069,9094
120,2.2091,23,0.13,23,0.077,10753
191,2.2599,23,0.18,26,0.056,9217
158,2.2359,17,0.19,19,0.066,9509
157,2.2143,23,0.14,21,0.075,10254
125,2.2124,24,0.12,20,0.075,10919
219,2.2785,48,0.11,15,0.049,8228
237,2.2689,30,0.11,15,0.053,8266
165,2.2206,23,0.15,20,0.072,10560
163,2.2431,18,0.18,23,0.062,8998
138,2.238,14,0.2,21,0.065,9566
155,2.2258,15,0.14,22,0.071,11259
146,2.2145,25,0.13,21,0.075,10374
219,2.2419,30,0.13,14,0.063,10130
194,2.2698,49,0.11,10,0.052,9877
110,2.227,26,0.12,17,0.069,11597
132,2.2714,20,0.19,22,0.051,9821
191,2.2825,14,0.24,22,0.046,9122
164,2.2557,27,0.15,21,0.058,8627
133,2.2573,13,0.27,30,0.057,10240
169,2.2404,15,0.2,20,0.064,10095
193,2.2189,31,0.11,20,0.073,10304
193,2.2189,31,0.11,20,0.073,9853
175,2.2246,28,0.14,22,0.071,9848
153,2.2171,24,0.12,20,0.074,11236
153,2.2448,18,0.17,29,0.062,9326
116,2.2727,19,0.2,20,0.05,10416
159,2.2326,28,0.13,16,0.067,10013
145,2.2147,24,0.14,21,0.075,10257
128,2.2387,36,0.12,19,0.065,9408
203,2.2534,39,0.12,10,0.058,10098
154,2.2183,24,0.11,20,0.073,11255
160,2.2132,25,0.11,21,0.075,10976
178,2.2259,30,0.15,23,0.07,10082
155,2.2607,18,0.21,19,0.056,8913
152,2.2524,24,0.19,19,0.06,9050
118,2.2529,17,0.19,20,0.058,9724
133,2.2508,15,0.2,21,0.059,9523
139,2.3196,13,0.22,16,0.032,10397
157,2.2635,15,0.22,27,0.054,9475
165,2.2309,21,0.14,22,0.068,10160
188,2.2241,30,0.12,20,0.071,9740
118,2.2384,33,0.13,22,0.065,8554
150,2.2372,17,0.18,21,0.065,9281
144,2.2564,15,0.21,30,0.057,9554
138,2.2257,22,0.14,23,0.07,9348
121,2.2318,23,0.14,20,0.068,9916
187,2.2719,14,0.24,22,0.051,9156
136,2.2458,15,0.2,24,0.061,9512
137,2.2525,18,0.18,28,0.059,9584
243,2.2426,25,0.12,15,0.063,11178
134,2.2243,33,0.11,22,0.07,9675
148,2.2351,20,0.14,21,0.066,9768
147,2.2303,25,0.14,18,0.068,10092
153,2.2327,34,0.12,18,0.067,9810
144,2.2133,24,0.12,20,0.075,10868
191,2.2461,12,0.17,17,0.064,11065
162,2.2164,24,0.11,20,0.074,11018
151,2.2638,32,0.14,15,0.054,9500
137,2.2434,15,0.2,24,0.062,9522
